doc_id,serial,petition_id,title,body,signature_count,signature_threshold,deadline,status,issues
393,2601,4fe211ee8d8c37c950000003,"include funding in the next fiscal budget for ""life extension research.""It is an idea whose time has come!!!","Slowly but surely,scientists,doctors and other researchers are beginning to understand why people age and die.Today,236 years after America's founders wisely chose,""life""as the first unalienable right mentioned in the Declaration of Independence we are beginning to see progress in understanding why we age and die after a short period of time.
Seminal research is underway which may produce dramatic life extension in humans.Support for these and other life extension measures must become a fiscal priority in this great country.
 In fact,the political leaders in our country should make,""indefinite life extension""an issue that can bring us together as one nation pursuing the most profound undertaking in the history of the world,""INDEFINITE LIFE EXTENSION""",380,25000,32,Closed,"Economy & Jobs,Health Care,Civil Rights & Equality"
394,2606,4fe29cd1709f03c06b000001,USMG the principal occupying power of Taiwan after WWII but USA trapped people of Taiwan in political purgatory 67 years,"The Universal Declaration of Human Rights says everyone has the right to a nationality. But, what is the nationality of Taiwan people?

Ma Ying-jeoul the president of ROC government in exile tortured his predecessor Chen Shui-bian with a mind-altering drug Ativan without Chen's consent. It is an unlaw Phamaceutical brainwashing is defined as torture under the Torture Victims Protection Act.

Taiwan is another Guantanamore Bay in the West Pacific. The people of Taiwan need your help to get them out of the political purgatory under Chinese regime.

The WWII was over for a long time but not in Taiwan. The military government on Taiwan has never been ended. USMG needs to proclaim the end of military occupation on Taiwan and please help the Taiwan people to build a Civil Government of Taiwan.",4128,25000,32,Closed,"Civil Rights & Equality,Foreign Policy"
395,2611,4fe347e8cf436a5d36000003,Exonerate Glendale Gordon AKA Busy Signal,Glendale Gordon made a bad decision at a very young age and now 10 years later has become an International icon that children and young adults look up to. He served his time already and we now feel that the US Government should acknowledge this and all he has done in the last 10 years to show that he has learned from his mistake. We ask that you review his situation and move forward to grant him exoneration.,1575,25000,32,Closed,Criminal Justice Reform
396,2616,4fe376574bd5049f3d000004,fire the current DEA administrator Michele Leonhart.,"A recent video shows Rep. Jared Polis (D-Colarado) asking the current DEA Administrator Michele Leonhart some straightforward and simple questions about dangers and possibility of addiction of marijuana versus other ""hard"" drugs, like heroin and methamphetamines.  Michele Leonhart was unable to answer ANY of these questions, instead answering only that ""[...]all illegal drugs are bad.""  This is deplorable that the administrator of the DRUG Enforcement Agency is unable to answer simple questions about well known street drugs.  This position should be filled by someone who is qualified and knowledgeable, and Michele Leonhart has clearly demonstrated that she is neither.",3404,25000,32,Closed,Government & Regulatory Reform
397,2621,4fe3eb0a709f031c5e000004,"Repeal the House of Representatives Resolution 121 to stop
aggravating int'l harassment by Korean propaganda & lies!","In ""Discount Japan"" campaign, using holocaust  image conveniently, South Korea takes advantage of  Seiji Yoshida's creation  ""comfort women"" which later he confessed a fiction.
Oral testimonies are not evidence of coercing or abduction!

The House Resolution 121 in 2007 is based on fabrication. It gives South Korea a path to accuse Japan for its deed during WWII therefore to justify their murder, abduction, and invasion of Takeshima islands which has abundant of methane hydrate.

If US-Japan alliance is truly the cornerstone of US security interests in Asia and the Pacific and is fundamental to regional stability and prosperity, do NOT allow Koreans to deteriorate it. We strongly request US government to act only based on truth and justice!

http://bit.ly/Repeal121",46547,25000,32,Reviewed,Foreign Policy
398,2631,4fe53fab4bd504dd3e000007,Enforce federal 501(c)(3) regulations by removing the tax-exempt status from churches that engage in political activity.,"Since 2008, pastors of some churches have openly supported and advocated specific political candidates in sermons to members in early October in an event referred to as ""Pulpit Freedom Sunday"". According to Reuters, videos of these sermons are sent to the offices of the IRS.

According to section 501(c)(3) of the Internal Revenue Code, the provision of the tax code from which these churches derive their tax-exempt status, a compliant organization must not ""participate in, or intervene in (including the publishing or distributing of statements), any political campaign on behalf of ... any candidate for public office.""

The IRS has failed to remove the tax-exempt status of these churches despite their violations of tax code. This must change, and the law must be applied equally to everyone.",8081,25000,32,Closed,"Budget & Taxes,Civil Rights & Equality"
399,2636,4fe609872ee8d06f7d00000d,Investigate misuse of Psychotronic (mind control) weapons.,"Victims of Psychotronic (Mind Control) Weapons are being targeted unjustly or used as human subjects in non-consensual experiments. Criminals may implant people with microchips or nanomaterials, monitor their brain, alter consciousness and behavior, torture mind and bodies. Victims may experience torture by microwave hearing, visual hallucinations, manipulation of thoughts, will and emotions, forced speech, involuntary body movements, transmission of specific commands into the subconscious and compulsory execution of them. Some targeted individuals are subject to harassment and organized stalking in their communities, some victims receive false psychiatric diagnoses. The misuse of such brain and body manipulation technologies directly undermines the Constitution and Criminal law of the USA",306,25000,32,Closed,"Civil Rights & Equality,Economy & Jobs"
400,2641,4fe8abf2709f03d927000000,Stop the deportation of non-citizen veterans from the United States.,"It is deplorable that the United States of America would deport non-citizen personnel that served in the military and defended our country.  The United States openly enlists and recruits legal permanent residents to serve in the military, but does not grant them the same rights as citizens born here.  If a citizen would right a bad check or smoke an illegal substance, they would be prosecuted by the law, serve their time, and go back to society.  For non-citizen service members, they are being deported for the same crimes, often destroying families at the same time.  Service members that took an oath to defend the Constitution of the United States, should be considered as nationals of the United States, and not be permitted to be deported.   ",644,25000,32,Closed,"Civil Rights & Equality,Immigration,Veterans & Military"
401,2646,4feb02b6ec309e764c00001c,HALT Sexual Predators in our Armed Forces.,"We believe that the Department of Defense should make the film, The Invisible War, required viewing for all future commanders as well as for military personnel who train incoming recruits.

The current policy of Zero Tolerance is not backed by a realistic training program. This award winning film explains sexual predation in a clear and compelling manner, leaving the viewer with an honest explanation of the problems facing our US service members. Using the DoD's own numbers, the film makes a direct connection between incapable Commanders and incidents of rape. It is time for those taking on the responsibility of command and of those training our new recruits to understand what they are up against. This film is a perfect tool to begin the process.

",618,25000,32,Closed,Homeland Security & Defense
402,2656,4fef6cfecf436a0465000024,Support the Linguatera project concerning a new neutral language for the world,"We are going to build a neutral, simple and connecting all the existing languages, one language called Linguatera.

People will be voting for the best solutions (sounds, letters, grammar etc.).We estimate that after 5 year period we will be able to build the language and communicate in Linguatera worldwide.

Everyone will be an inventor, teacher and student in one.

We observe lack of such a language nearly everywhere.

This language will also help to ease the tensions between nations. Superiority of some national languages over the others is reality.

With Linguatera we assume to equalize the level of competence in terms of linguistic proficiency, because every one will start from ""0"" level.

We need your support to start the project.

",218,25000,32,Closed,"Education,Energy & Environment,Innovation: Arts & Technology"
403,2661,4fefb35e709f031c7a000005,We are retailers not manufacturers.,"Dear Mr. President, Please void the Big tobacco bailout in the highway bill. By not doing so, would put my business and thousands like it accross the nation out of business. Not to mention the amount of people who would then loose their jobs and become unemployed. This would also affect countless number of people who choose to shop at these businesses as well. So please take a look into this section of the bill and save our businesses, employees, and customers.                 Protect Due Process of Law
Thank you.",5130,25000,32,Closed,Economy & Jobs
404,2666,4ff3a43dec309e4f6f000000,End colonialism in the 21st century and protect the rights of US Citizens.,"This July 4th, 2012, the United States of America has over 236 years in tradition of preserving democracy and freedom; yet Puerto Rico (a US Territory under Congressional rule) has yet to determine its final political status.  Almost 4 million United States Citizens residing on the islands are disenfranchised of their full rights (no real Congressional representation, and no vote for US President).  Over 400,000 have served honorably in the US Armed Forces (from WW-I to GWOT, including 5 Congressional Medals of Honor).  It is time to end colonialism and give our fellow citizens their dully earned space in our Union. .  ",488,25000,31,Closed,Civil Rights & Equality
405,2671,4ff493b30353f31049000000,"Help Free D. Randall Blythe From Prage, Czech Republic. Where he is falsely accused of commiting Manslaughter.",This petition is so it can be brought to the attention of the white house that one of our citizens is in need of help. His name is D. Randall Blythe. He was doing what he loves to do bring his music along with the rest of the band LAMB OF GOD. During one of the dates he was taken into custody in Prague and was extorted for money after posting bail he was not released which is a direct violation of his civil rights. This petition will show that the people of the united states will not stand for this outrage and hope you and the us state department will do something about this travesty.,29009,25000,31,Reviewed,
406,2676,4ff79f092ee8d00a68000002,"Urge Passage of ""Life Without Parole"" as the penalty for financial crimes exceeding $10m or affecting 10,000+ people","We ask the President to direct the Department of Justice to seek maximum allowable penalties for any financial crimes that result in more than $10m in illicit gains or affect more than 10,000 people.

We also ask the President to urge Congress to pass a bill making ""heinous"" financial crimes punishable with federal sentences of Life Without The Possibility of Parole.

The only way to save capitalism is to purge the system of criminals and systemic corruption. Before it is too late.",1505,25000,31,Closed,"Civil Rights & Equality,Economy & Jobs,Criminal Justice Reform"
407,2681,4ff8dcfabc45ed7343000003,Stop Law enforcement from using sexual entrapment. Using sex to create crimes is a violation of Due Process Amendment V,Law enforcement agencies have been using sexual entrapment not to detect crimes but to create them. Law enforcement should not be allowed to violate citizens due process rights by entrapping them with promises of sex. There is enough crime in this country without law enforcement resorting to egregious techniques like sexual entrapment. ,517,25000,31,Closed,"Civil Rights & Equality,Criminal Justice Reform"
408,2686,4ffaefb39cd1c16b45000008,Require the Transportation Security Administration to Follow the Law!,"In July 2011, a federal appeals court ruled that the Transportation Security Administration had to conduct a notice-and-comment rulemaking on its policy of using ""Advanced Imaging Technology"" for primary screening at airports. TSA was supposed to publish the policy in the Federal Register, take comments from the public, and justify its policy based on public input. The court told TSA to do all this ""promptly."" A year later, TSA has not even started that public process. Defying the court, the TSA has not satisfied public concerns about privacy, about costs and delays, security weaknesses, and the potential health effects of these machines. If the government is going to ""body-scan"" Americans at U.S. airports, President Obama should force the TSA to begin the public process the court ordered.",22274,25000,31,Closed,"Civil Rights & Equality,Homeland Security & Defense,Transportation & Infrastructure"
409,2696,4ffc343d709f035421000003,should investigate assertions by CIA agent Chase Brandon of an extraterrestrial explanation for the 1947 Roswell events.,"Disclosure Petition IV - Chase Brandon
www.disclosurepetition.info
www.paradigmresearchgroup.org

Recent statements by former senior CIA agent Chase Brandon confirm the testimony of dozens of first and secondhand witnesses to the extraterrestrial nature of the events during early July of 1947 at and near Roswell, New Mexico.

These testimonies directly contradict the President's Office of Science and Technology Policy statement, ""The U.S. government has no evidence.......that an extraterrestrial presence has contacted or engaged any member of the human race. In addition, there is no credible information to suggest that any evidence is being hidden from the public's eye.""

The extraterrestrial truth embargo is now inappropriate policy which undermines the credibility of the United States.",496,25000,31,Closed,"Homeland Security & Defense,Government & Regulatory Reform,Technology & Innovation"
410,2701,4ffed17c53b2cfd06600000e,PASS THE CHEYENNE BAEZ INNOCENT BYSTANDER LAW.,"CHEYENNE BAEZ WAS SHOT AND KILLED ON OCTOBER 3, 2010. SHE WAS NOT THE INTENDED TARGET, CHEYENNE WAS AN INNOCENT BYSTANDER WHOSE LIFE WAS TRAGEDICALLY TAKEN BY THE HANDS OF A THOUGHTLESS AND RECKLESS INDIVIDUAL.  SO IN HER HONOR, I PRESENT THIS PETITION SO THAT JUSTICE CAN BE GIVEN TO THE PEOPLE WHOSE LIVES ENDED ABRUPTLY BY GUN VIOLENCE. PLEASE SIGN THIS PETITION AND SHOW YOUR SUPPORT. ",311,25000,31,Closed,"Criminal Justice Reform,Homeland Security & Defense,Gun Violence"
411,2706,4fffa08dfb7528f17d000000,Oppose passage of HR 3012 - The Fairness for High-Skilled Immigrants Act.,Please do not pass this bill. This is only a pro-India/ China bill that will only help an influx of Indian/ Chinese immigrants. This is a very unfair bill to the ROW as they will be put into a backlog because Indians/ Chinese people will keep on cutting the lines ahead of them and putting them in the backlog. They already get a lot of spill overs from ROW's unused visas and therefore they should not be given the advantage to get ahead in line of ROW.,360,25000,31,Closed,"Immigration,Economy & Jobs"
412,2721,50076b2c704301161900000e,Make it a felony with a minimum of 2 years in jail for the intentional abuse or death of any animal.,"Make it a felony with a minimum of 2 years in jail for the intentional abuse, neglect or death of any animal. This would also prevent the person from owning another animal, putting a stop any future abuse. Most animal abusers walk away with a fine for such a horrible act. By making animal abuse a Felony with a minimum of 2 years of jail time we could reduce this cruelty.",1092,25000,30,Closed,"Criminal Justice Reform,Energy & Environment"
413,2726,500afe22eab72a0e49000006,Restore the federal ban on assault weapons and high capacity clips,"According to the U.S. Census 2011, 66% of all homicides from 2000-2008 were due to some type of firearm. Although this petition realistically does not seek the banning of all firearms, including handguns and guns used for hunting, it would seem that a logical response to gun violence would be to restore the ban on assault weapons and high capacity clips. Such items are not used for hunting, home protection, or personal protection; their sole purpose is to kill people, often large numbers of people. A reasonable and common sense approach to removing these weapons from the hands of those who would harm others is requested. ",1462,25000,30,Closed,Gun Violence
414,2731,500c224ceab72a866e000013,Defunding of the Aquarius Project that studies in the deep ocean,"On Friday July 20th NPR reported a story about the underwater oceanic lab known as Aquarius. This lab is vital not only for our research in how we are reshaping the planet by pollution, by also how the deep sea affects everything on land.
This project is due to be defunded by Congress on Sept, 1st of this year. The project, lab, scientists, and all the amazing work they are doing will be stopped. The project is only 3 million dollars a year but in the sense of importance it is priceless.

PLEASE DO NOT LET THESE CONGRESS MEN AND WOMEN KILL THIS PROJECT.

If you have a moment I am including the link that would allow you to hear this story first hand.  http://sciencefriday.com/segment/07/20/2012/its-budget-sunk-undersea-lab-may-have-to-surface.html
",732,25000,30,Closed,"Education,Energy & Environment"
415,2736,500f4211cde5b8be6b000006,Support HR 2052 Ft McClellan Health Registry Act To Help Veterans,"To help Ft McClellan veterans who were stationed at Ft McClellan, Alabama and who were exposed to toxic chemicals without their knowledge. These Ft McClellan veterans are currently very sick, many have already died and are now dying because of exposure to toxic chemicals while at Ft McClellan.

HR 2052 Ft McClellan Health Registry Act is currently in legislation in Congress and is stalled in committees. We need to move it out of committees and onto the House floor for a vote. We, Ft McClellan veterans, need this bill. We did not know that we were being exposed to toxic chemicals while at Ft McClellan, Alabama.

We need HR 2052 Ft McClellan Health Registry Act to be moved out of committees and onto the House floor for a vote now! This bill is deliberately being stalled in Congress.",852,25000,30,Closed,"Energy & Environment,Health Care,Veterans & Military"
416,2741,5012c027a9a0b14355000002,Veto any assault weapon ban.,"""Assault Weapon Bans"" are an affront to the Second Amendment, and will destroy an industry here in the United States. Although the U.S. has the highest rate of gun ownership in any country, it does not have anywhere near the most gun crime. We in this country have a respect for the tradition of gun ownership, and particularly the ownership of military-style rifles. Although these weapons have been used in the past for destructive and unethical ends, the vast majority of their uses are for sport, competition, and self defense. Stripping the people of their right to own and use these firearms legally and safely will not deter crime, but will serve only to frustrate law-abiding citizens.",950,25000,30,Closed,"Civil Rights & Equality,Gun Violence"
417,2746,5014651e6ce61c8745000004,take the correct action against Burma to stop genocide.,"The people in Burma are under a mass massacre. They are being killed in the thousands, their bodies are being burned alive. We need to rise up and stop this disgusting act from going on any farther than it already has. We live in peace and security. We must be the ones to enforce justice in this world. If not us, then who? ",1298,25000,30,Closed,"Civil Rights & Equality,Homeland Security & Defense"
418,2751,5018e10d2f2c880513000002,investigate and stop all acts of police brutality against civil protesters and demilitarize local police forces.,"As citizens of this country it is alarming to witness law enforcement agencies treating civilians engaged in lawful demonstration as criminals. The First Amendment guarantees every American the right to free speech, assembly and to have their grievances addressed by their government.

We have watched law enforcement respond to peaceful demonstrations dressed in military uniforms, utilizing tear gas, rubber bullets, batons and intimidation to disperse legal gatherings and marches.

From college campuses to Main Street, USA the local law enforcement agencies have over reacted with force, making illegal arrests and detaining protesters with exorbitant bail.

We call for complete investigation of all cases of protester abuse and police brutality and to demilitarize our local police forces.",876,25000,31,Closed,"Civil Rights & Equality,Criminal Justice Reform"
419,2756,501a4f25ee140f033c000005,"pay close attention to upcoming UPR of SriLanka at UNHRC, and lawlessness and impunity prevailing currently there","Since the end of civil war on May 19, 2009, Sri Lankan Government has been increasingly manifesting its racist, militaristic, despotic tendencies. The life of Tamils in North and East of Sri Lanka has already reached a nadir there.
We believe that only a timely intervention by the US President in the UPR-2012 of Sri Lanka in UNHRC, Geneva in Oct.-Nov.2012, can eliminate Sri Lanka's chance of twisting this session into another congratulatory meeting for its genocidal activities
Sri Lanka needs to be admonished for impunity, lawlessness and systemic genocide in regard to
Illegal detentions, enforced disappearances,
Nazi style Lebensraum"" and Anschluss happening in ancestral Tamil lands, destruction or conversion of heritage, religious & archeological sites and  Suppression of press freedom",317,25000,31,Closed,"Civil Rights & Equality,Foreign Policy"
420,2761,501ad824ee140ff52c000000,"Remove ""In God We Trust"" from our currency and remove ""under God"" from the Pledge of Allegiance.","Having God on our currency and in our Pledge of Allegiance fuels the false belief that the United States is a Christian nation. As declared in the Treaty of Tripoli, 1796, ""...the Government of the United States of America is not, in any sense, founded on the Christian religion."" This was signed by president John Adams. Having God in our currency and in our Pledge of Allegiance directly disrespects those among us who are not of the Christian faith, and it should be removed.",7027,25000,31,Closed,Civil Rights & Equality
421,2766,501b37222f2c88503400000d,We Petition the Obama Administration should investigations into the death of Mrs. Dang Thi Kim Lieng,"We Petition to the Obama Administration to look into the case of the death of Mrs. Dang Thi Kim Lieng self-immolation due to injustices dealt to her personally by local officials and the pressure boring down on her by the VCP in Saigon and Hanoi in its attempt to engage her assistance in getting her daughter Ta Phong Tan (whose blog often mentions social injustices in Vietnam)
The Vietnamese Communist Party (VCP) has continually resorted to using violence to suppress and to quell any forms of dissidence in Vietnam, including conducting systematic campaigns of beating, harrassing, intimidating, and killing of non-violent protests by farmers whose ancestral land has been misappropriated by corrupt communist officials for the VCP and their own benefits
",1288,25000,31,Closed,"Foreign Policy,Civil Rights & Equality"
422,2771,501cb76200e579c95b00000a,Allow a Federally Chartered Corporation to accept THORIUM and to develop uses and markets for THORIUM including ENERGY.,"President Obama's use of WTO to address China's control of Heavy Rare Earth Elements does not resolve the need for a reliable domestic supply. Development of such supply is hindered by concerns over separating thorium out of monazite deposits where HREE are found.

In fact the phosphate mining industry in Florida annually dumps 22,600 tons of HREE due to thorium content.

The thorium is both an unknown liability to anyone seeking to produce heavy HREE, and a valuable asset in our pursuit of energy independence via Thorium Molten-Salt Reactors.

Allow a Federally Chartered Corporation to accept thorium, & develop uses & markets for thorium, INCLUDING ENERGY.

We hobble HREE mining, neglect Th-MSR research, & are about to destroy our priceless U-233 stockpile.

http://ThoriumPetition.com",326,25000,31,Closed,"Economy & Jobs,Energy & Environment"
423,2776,501df8c000e579654800000a,Return Taiwan to the Emperor of Japan  under the Law of Nations to Ensure the Peace and Security of the Western Pacific,"Taiwan was ceded to the Emperor of Japan by China in perpetuity on the Treaty of Shimonoseki in 1895, and was incorporated into an integral part of Japan.


Pursuant to Article 2(b) of the Peace Treaty in 1952, Japan renounced all rights over Taiwan. However, the obligations for indigenous Taiwanese subject remain with Japan.

While permanent occupation is unlawful, unpleasant politics between the Chinese on Taiwan and the PRC have taken place by formal reconciliation in 2010.

The US is the principal occupying Power upon Japan as per the Treaty. The US President has absolute authority to restore normality of Taiwan by returning it to the Emperor of Japan as it had once done with Okinawa in 1972, for the ultimate security of the region.",2556,25000,31,Closed,"Civil Rights & Equality,Homeland Security & Defense,Foreign Policy"
424,2781,5020b3d76ce61cc57b000005,Change Christopher Columbus Day to a National Indigious Holiday,"Indian governments and the people they represent are requesting that the federal government bring about a National Holiday for Native Americans to be celebrated by all citizens of America and people around the world.

This holiday would pay tribute to Indian Tribal Leaders to include Alaskan Leaders and Hawaiian Leaders. This holiday would also pay tribute to those that endured the world's longest holocaust and most costly in human lives.

Therefore be it resolved that the Federal Government should reevaluate Columbus Day by moving it back to its original day the second Wednesday of October and not be a tax paid holiday as is St. Patrick's Day and Octoberfest, and make the second Monday of October a Federal holiday for Native Americans.",651,25000,31,Closed,"Innovation: Arts & Technology,Civil Rights & Equality"
425,2791,502b0ec12bcfa3983f000014,Protect children to suffer a cardio arrest while they are practicing sports at school.,"If you have children or relatives who practice sport activities at high School, may be you are interested in this issue; around twelth thousand children die every year doing sport activities in high school. ramdoly three to five children decease every day in each state of the American Union, and nobody say nothing. My son Jose O. Rodriguez jr. is ones of them, He collapse after a basketball trail at school, he got a cardio arrest and die. It is time to pass a law to protect our children doing mandatory a stress heart test before a child be included in any sport activities in high school; moreover liability coaches if the death is cause by a sport malpractice. If you want enhance children sport life,Pass a law to aprove a mandatory a stress test and liability coaches for sport malpractice.",424,25000,31,Closed,"Economy & Jobs,Health Care"
426,2796,502c08db2f2c88cd5c000001,"Request that the FBI  amend the Report. ""2011-national-gang-threat-assessment.""  To remove Juggalo's as a hybrid gang.","   The 2011-national-gang-threat-assessment, has labeled the fans of ICP ""Juggalos"". As a Hybrid Gang.

   We are asking the Obama administration to request the FBI amend or remove the term juggalo from the report.  We agree that there are people who are both Juggalos and criminals. We also believe that there are Juggalos who are active member in gangs.

 However the Classification of hybrid gang, has become detrimental to others who self identify as Juggalos.

It places unfair restrictions on Juggalos and adds undeserved penalty to Juggalos.

 It is our belief that this report is bias and makes it illegal to associate and gather to enjoy music and companion ship in a culture that is over 1,000,000 strong the vast majority of witch have no criminal back ground to support   the claim",2122,25000,31,Closed,Civil Rights & Equality
427,2801,502d4b2b00e579a636000000,implement a no-fly zone in northern Syria to protect civilians from regime air strike on densely populated cities.,"More than 20,000 persons, including children and women, were killed by the Syrian regime.  Recently, the Syrian regime escalated the killing by air strikes on densely populated cities.  This led to indiscriminate killing and destruction of historical places.  Today, 8/16/2012, air strike on Aleppo killed over 50 people who were standing on line to get bread at a local bakery. Similar air strikes yesterday destroyed the city of Azaz and forced 70% of the population to flea the city.  The world is watching massacres happening and but doing nothing other than counting dead bodies.  Airstrike also is destroying historical places, such as the citadel of Aleppo. A no fly zone would save life and history. ",609,25000,31,Closed,Foreign Policy
428,2806,502d877ceab72a821c000006,Advise the TSA administration to save their Explosives Detecting Puppy Program.  These dogs are invaluable to our nation,"The TSA Puppy Program, which provides  highly successful explosives detecting dogs, has STOPPED breeding dogs.  Dogs from this program keep Air force One, our airports, and our transit systems safe from bombs and explosives.  Volunteers working in the kennel and raising the dogs in their homes help with costs. The kennel has had minimal repairs in many years.  This is not a wasteful program and reductions should not be placed here.  Dogs that protect our citizens should be a priority to our nations security.  As this proven breeding program dissolves, I imagine dogs will be bought from other countries, without the track record or commitment our USA dogs have been developed and raised with.  Not to mention another outsourcing of our American dollars.  PLEASE HELP!",232,25000,31,Closed,"Homeland Security & Defense,Transportation & Infrastructure"
429,2811,502eb61d2f2c88a777000000,We should support OEM and Aftermarket Plug-in vehicles with the same tax incentives,"While the Federal government should continue providing Qualified Plug-in Electric Drive Motor Vehicles (IRC 30D) tax incentives for new plug-in vehicles, they should extend the same incentives to EV / plug-in conversions. Conversions target 250M existing vehicles on the roads, can save over 40% of fuel use or no fuel at all, have a smaller carbon footprint than new car since they reuse most of the original vehicle, and cost less to buy as an incremental expense making plug-in more affordable.

Supporting Equal Incentives for Conversions will: stimulate jobs to a different workforce segment than new cars, more quickly expand the number of fuel saving vehicles on the road, develop plug-in / EV industry expertise more broadly and quickly across the country and reach 1M plug-ins by 2015.",544,25000,31,Closed,"Energy & Environment,Economy & Jobs,Transportation & Infrastructure"
430,2821,502fe708ee140fda6e000012,Support Keeping Zeek Rewards Open: Stop The SEC And Attorney General From Stealing Our Business.,"Greetings,

Keep Zeek Rewards Open For Business

Zeek Rewards.com/Zeekler.com has helped and maybe even saved lives financially. Zeek is a truly great penny auction.
",25138,25000,31,Reviewed,
431,2826,5030076e2f2c88770a000002,"Support Keeping Zeek Rewards Open: Stop The SEC And Attorney
General From Stealing Our Business.","Zeekrewards.com & Zeekler has changed thousands of lives financially.

The SEC & AG Office in North Carolina allegedly claims that Zeekler/Zeek Rewards is a ponzi scheme.

In no way that this company defrauded anyone. We believe that Zeekler/Zeek Rewards has given us the leadership and the freedom to support our families.

Thousands and maybe millions of people are suffering by this and we are taken a stand of what's right.

Paul Burks, the CEO of Rex Venture Group wanted was a system that the average person can do.

For it to be taken away from us is devastating. So we are behind Paul Burks, Rex Venture Group, Zeekler/Zeek Rewards and it's affiliates 100%!!  We don't want to be silent to these allegations that the SEC & AG office is making.

So with that, we are taking a STAND! ",33869,25000,30,Reviewed,
432,2831,50306b45ee140f4551000000,vigorously enforce US laws to seek the return of US citizens' properties expropriated by the Vietnamese government.,"Vietnam's Land Laws of 1993 and 2003 nationalized land and houses seized from Vietnamese who had fled communism, including as many as 500,000 Vietnamese who had already become naturalized US citizens. This makes the Vietnamese government ineligible for the Generalized System of Preferences (GSP) and for US foreign assistance under the Hickenlooper Amendment.  Our President should demonstrate his commitment to defending the rights and interests of US citizens by applying the prohibition clause of the Foreign Assistance Act (22 USC 2370(e)) to Vietnam, calling on its government to freeze further expropriations of US properties, and conditioning GSP or any further trade benefits on the return of all properties that belong to US citizens or payment of fair compensation.",27729,25000,31,Reviewed,Foreign Policy
433,2836,5035040200e5790a51000014,Free US Army Sergeant Bowe Bergdahl of Idaho from the Taliban or his current captors. No man should be left behind.,"Bowe Bergdahl was captured June 30, 2009 in south-east Afghanistan by members of the Taliban supporting  Haqqani network. Since then, the Taliban has released five videos showing him in captivity. The Taliban have demanded $1 million and the release of 21 Afghan prisoners and Aafia Siddiqui in exchange for Bergdahl's release. They have threatened to execute Bergdahl if Siddiqui is not released. Most of the Afghan prisoners are being held at Guantanamo Bay.  Bergdahl was reported to have attempted escape in the fall of 2011. Negotiation attempts are believed to have ended in March 2012. We are leaving Afghanistan so we need to find him now! His family and his country deserve better.",513,25000,31,Closed,"Foreign Policy,Civil Rights & Equality,Veterans & Military"
434,2841,50371b5dee140fa90600000d,Support HR 2052 Ft McClellan Health Registry Act To Help Veterans,"To help Ft McClellan veterans who were stationed at Ft McClellan, Alabama and who were exposed to toxic chemicals without their knowledge. These Ft McClellan veterans are currently very sick, many have already died and are now dying because of exposure to toxic chemicals while at Ft McClellan.

HR 2052 Ft McClellan Health Registry Act is currently in legislation in Congress and is stalled in committees. We need to move it out of committees and onto the House floor for a vote. We, Ft McClellan veterans, need this bill. We did not know that we were being exposed to toxic chemicals while at Ft McClellan, Alabama.

We need HR 2052 Ft McClellan Health Registry Act to be moved out of committees and onto the House floor for a vote now! This bill is deliberately being stalled in Congress.",691,25000,31,Closed,"Civil Rights & Equality,Health Care,Veterans & Military"
435,2846,5037c42feab72a7c67000012,Initiate a new law requiring Equal Pay For Equal Work (PFA has previously failed in the Senate/House) Fairness!,"- The bill will help ensure that men and women who do equal work receive the equal pay that they and their families deserve
- The bill will help elimate the divide in salaries between men and women who do the same job
- The bill will provide dignity to women who are newly entering the workforce, and to those who have worked years to obtain these rights for themself, their daughters,  and future generations.
- The bill will provide fairness and equality in the workforce",1574,25000,31,Closed,Civil Rights & Equality
436,2851,5038b089688938792f00000d,Stop the military from involuntarily breaking service members enlisted contracts when it is not congressionally mandated,"On 9/1/12, the Navy is going illegally break 2,946 sailors contracts via an Enlisted Retention Board (ERB) they claim was congressionally mandated. The Navy force is at 321,053, well below the 325,700 that is mandated by the FY2012 NDAA law. ERB is being used to fix Navy Leadership's mismanagement of jobs, not to meet congressionally mandated endstrength.  While they are violating these sailors contracts, they are offering BONUSES to sailors in the same jobs to go to sea because they claim they are undermanned now. Do NOT allow our Navy leadership to dishonor our service members to fix their mistakes.  The ERB has ruined the morale across the fleet and is a disgrace to the Navy.  Help these sailors before it's too late and ensure that this never happens to another service member again.",881,25000,31,Closed,"Homeland Security & Defense,Economy & Jobs,Veterans & Military"
437,2861,50411367eab72af63e000005,President Obama: Declare election day as a National Voting Holiday by Executive Order to protect our democracy.,"Mr. President, please issue an Executive Order to make the General Election Day (the first Tuesday in November) as a National Voting Holiday to encourage our citizens to vote. Most democratic countries have a national holiday to vote, and since we are supposed to be the greatest democracy in the world, it's time we had a National Holiday to recognize our treasured rights as citizens. This would encourage employers to let their workers vote, counter voter suppression, and also become a wonderful day to take pride in our democratic process as Americans.",586,25000,30,Closed,Civil Rights & Equality
